agency_cd,site_no,datetime,discharge_ft3_s,discharge_flag,p_lbs_d,p_flag
USGS,05427930,2012-07-04,1.88,A,,
USGS,05427930,2012-07-05,1.92,A:e,2.37,A
USGS,05427930,2012-07-06,1.91,A,2.39,A
USGS,05427930,2012-07-07,1.95,A:e,2.41,A
USGS,05427930,2012-07-08,1.99,A:e,2.47,A
USGS,05427930,2012-07-09,1.98,A:e,2.50,A
USGS,05427930,2012-07-10,1.96,A:e,2.48,A
USGS,05427930,2012-07-11,1.89,A:e,2.43,A
USGS,05427930,2012-07-12,1.82,A,2.34,A
USGS,05427930,2012-07-13,1.76,A,2.26,A
USGS,05427930,2012-07-14,1.83,A,2.27,A
USGS,05427930,2012-07-15,1.73,A,2.25,A
USGS,05427930,2012-07-16,1.60,A,2.12,A
USGS,05427930,2012-07-17,1.56,A:e,2.03,A
USGS,05427930,2012-07-18,1.72,A,2.12,A
USGS,05427930,2012-07-19,3.54,A,3.43,A
USGS,05427930,2012-07-20,2.42,A,3.88,A
USGS,05427930,2012-07-21,2.07,A,2.93,A
USGS,05427930,2012-07-22,1.76,A,2.53,A
USGS,05427930,2012-07-23,1.60,A,2.26,A
USGS,05427930,2012-07-24,3.21,A,3.25,A
USGS,05427930,2012-07-25,3.63,A,4.67,A
USGS,05427930,2012-07-26,5.08,A,6.16,A
USGS,05427930,2012-07-27,3.61,A,6.13,A
USGS,05427930,2012-07-28,3.16,A,4.58,A
USGS,05427930,2012-07-29,2.90,A,3.97,A
USGS,05427930,2012-07-30,3.41,A,4.00,A
USGS,05427930,2012-07-31,2.51,A,3.63,A
USGS,05427930,2012-08-01,2.18,A,2.79,A
USGS,05427930,2012-08-02,1.80,A,2.29,A
USGS,05427930,2012-08-03,1.59,A,1.89,A
USGS,05427930,2012-08-04,1.62,A:e,1.74,A
USGS,05427930,2012-08-05,1.66,A,1.72,A
USGS,05427930,2012-08-06,1.76,A,1.73,A
USGS,05427930,2012-08-07,1.54,A,1.62,A
USGS,05427930,2012-08-08,1.91,A,1.79,A
USGS,05427930,2012-08-09,3.03,A,2.86,A
USGS,05427930,2012-08-10,3.42,A,3.54,A
USGS,05427930,2012-08-11,2.54,A,2.79,A
USGS,05427930,2012-08-12,2.01,A,1.94,A
USGS,05427930,2012-08-13,2.01,A,1.56,A
USGS,05427930,2012-08-14,1.84,A,1.41,A
USGS,05427930,2012-08-15,1.89,A,1.38,A
USGS,05427930,2012-08-16,2.92,A,2.32,A
USGS,05427930,2012-08-17,2.47,A,2.83,A
USGS,05427930,2012-08-18,2.07,A,2.05,A
USGS,05427930,2012-08-19,2.14,A,1.85,A
USGS,05427930,2012-08-20,2.25,A,1.92,A
USGS,05427930,2012-08-21,2.20,A,1.94,A
