agency_cd	site_no	datetime	154983_00060_00003	154983_00060_00003_cd	225399_91050_00003	225399_91050_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	05427948	1995-01-01	2.60	A	1.12	A
USGS	05427948	1995-01-02	2.40	A	1.03	A
USGS	05427948	1995-01-03	2.20	A	0.94	A
USGS	05427948	1995-01-04	1.90	A	0.84	A
USGS	05427948	1995-01-05	1.80	A	0.77	A
USGS	05427948	1995-01-06	1.80	A	0.80	A
USGS	05427948	1995-01-07	1.80	A:e	0.78	A
USGS	05427948	1995-01-08	1.80	A:e	0.78	A
USGS	05427948	1995-01-09	1.80	A	0.77	A
USGS	05427948	1995-01-10	1.80	A	0.78	A
USGS	05427948	1995-01-11	1.90	A	0.83	A
USGS	05427948	1995-01-12	2.30	A	1.68	A
USGS	05427948	1995-01-13	2.30	A	2.25	A
USGS	05427948	1995-01-14	2.50	A	2.61	A
USGS	05427948	1995-01-15	2.30	A	2.55	A
USGS	05427948	1995-01-16	2.10	A	2.12	A
USGS	05427948	1995-01-17	2.40	A	3.52	A
USGS	05427948	1995-01-18	2.20	A	3.71	A
USGS	05427948	1995-01-19	2.00	A	3.09	A
USGS	05427948	1995-01-20	2.10	A	3.12	A
USGS	05427948	1995-01-21	2.10	A	3.03	A
USGS	05427948	1995-01-22	2.00	A	2.88	A
USGS	05427948	1995-01-23	1.90	A:e	2.74	A
USGS	05427948	1995-01-24	1.80	A:e	2.57	A
USGS	05427948	1995-01-25	1.80	A	2.60	A
USGS	05427948	1995-01-26	1.80	A	2.53	A
USGS	05427948	1995-01-27	1.80	A	2.55	A
USGS	05427948	1995-01-28	1.80	A	2.49	A
USGS	05427948	1995-01-29	1.80	A	2.40	A
USGS	05427948	1995-01-30	1.80	A	2.38	A
USGS	05427948	1995-01-31	1.80	A	2.42	A
USGS	05427948	1995-02-01	1.90	A	2.52	A
USGS	05427948	1995-02-02	1.90	A	2.42	A
USGS	05427948	1995-02-03	1.80	A	2.31	A
USGS	05427948	1995-02-04	1.70	A:e	2.15	A
USGS	05427948	1995-02-05	1.60	A	2.01	A
USGS	05427948	1995-02-06	1.60	A	1.94	A
USGS	05427948	1995-02-07	1.60	A	1.91	A
USGS	05427948	1995-02-08	1.50	A	1.76	A
USGS	05427948	1995-02-09	1.50	A	1.82	A
USGS	05427948	1995-02-10	1.50	A:e	1.77	A
USGS	05427948	1995-02-11	1.40	A	1.61	A
USGS	05427948	1995-02-12	1.30	A	1.46	A
USGS	05427948	1995-02-13	1.30	A	1.54	A
USGS	05427948	1995-02-14	1.30	A:e	1.47	A
USGS	05427948	1995-02-15	1.40	A	1.59	A
USGS	05427948	1995-02-16	1.40	A	1.58	A
USGS	05427948	1995-02-17	1.40	A	1.56	A
USGS	05427948	1995-02-18	1.60	A:e	2.01	A
USGS	05427948	1995-02-19	4.00	A:e	13.8	A
USGS	05427948	1995-02-20	12.0	A:e	108	A
USGS	05427948	1995-02-21	6.00	A:e	50.9	A
USGS	05427948	1995-02-22	3.60	A	16.1	A
USGS	05427948	1995-02-23	3.40	A	8.41	A
USGS	05427948	1995-02-24	2.70	A	4.93	A
USGS	05427948	1995-02-25	2.40	A	3.36	A
USGS	05427948	1995-02-26	2.00	A	2.71	A
USGS	05427948	1995-02-27	1.90	A	2.54	A
USGS	05427948	1995-02-28	1.90	A	2.44	A
USGS	05427948	1995-03-01	1.60	A:e	2.03	A
USGS	05427948	1995-03-02	1.60	A:e	2.00	A
