agency_cd,site_no,datetime,discharge_ft3_s,discharge_flag,p_lbs_d,p_flag
USGS,5427948,1/1/1995,2.6,A,1.12,A
USGS,5427948,1/2/1995,2.4,A,1.03,A
USGS,5427948,1/3/1995,2.2,A,0.94,A
USGS,5427948,1/4/1995,1.9,A,0.84,A
USGS,5427948,1/5/1995,1.8,A,0.77,A
USGS,5427948,1/6/1995,1.8,A,0.8,A
USGS,5427948,1/7/1995,1.8,A:e,0.78,A
USGS,5427948,1/8/1995,1.8,A:e,0.78,A
USGS,5427948,1/9/1995,1.8,A,0.77,A
USGS,5427948,1/10/1995,1.8,A,0.78,A
USGS,5427948,1/11/1995,1.9,A,0.83,A
USGS,5427948,1/12/1995,2.3,A,1.68,A
USGS,5427948,1/13/1995,2.3,A,2.25,A
USGS,5427948,1/14/1995,2.5,A,2.61,A
USGS,5427948,1/15/1995,2.3,A,2.55,A
USGS,5427948,1/16/1995,2.1,A,2.12,A
USGS,5427948,1/17/1995,2.4,A,3.52,A
USGS,5427948,1/18/1995,2.2,A,3.71,A
USGS,5427948,1/19/1995,2,A,3.09,A
USGS,5427948,1/20/1995,2.1,A,3.12,A
USGS,5427948,1/21/1995,2.1,A,3.03,A
USGS,5427948,1/22/1995,2,A,2.88,A
USGS,5427948,1/23/1995,1.9,A:e,2.74,A
USGS,5427948,1/24/1995,1.8,A:e,2.57,A
USGS,5427948,1/25/1995,1.8,A,2.6,A
USGS,5427948,1/26/1995,1.8,A,2.53,A
USGS,5427948,1/27/1995,1.8,A,2.55,A
USGS,5427948,1/28/1995,1.8,A,2.49,A
USGS,5427948,1/29/1995,1.8,A,2.4,A
USGS,5427948,1/30/1995,1.8,A,2.38,A
USGS,5427948,1/31/1995,1.8,A,2.42,A
USGS,5427948,2/1/1995,1.9,A,2.52,A
USGS,5427948,2/2/1995,1.9,A,2.42,A
USGS,5427948,2/3/1995,1.8,A,2.31,A
USGS,5427948,2/4/1995,1.7,A:e,2.15,A
USGS,5427948,2/5/1995,1.6,A,2.01,A
USGS,5427948,2/6/1995,1.6,A,1.94,A
USGS,5427948,2/7/1995,1.6,A,1.91,A
USGS,5427948,2/8/1995,1.5,A,1.76,A
USGS,5427948,2/9/1995,1.5,A,1.82,A
USGS,5427948,2/10/1995,1.5,A:e,1.77,A
USGS,5427948,2/11/1995,1.4,A,1.61,A
USGS,5427948,2/12/1995,1.3,A,1.46,A
USGS,5427948,2/13/1995,1.3,A,1.54,A
USGS,5427948,2/14/1995,1.3,A:e,1.47,A
USGS,5427948,2/15/1995,1.4,A,1.59,A
USGS,5427948,2/16/1995,1.4,A,1.58,A
USGS,5427948,2/17/1995,1.4,A,1.56,A
USGS,5427948,2/18/1995,1.6,A:e,2.01,A
USGS,5427948,2/19/1995,4,A:e,13.8,A
USGS,5427948,2/20/1995,12,A:e,108,A
USGS,5427948,2/21/1995,6,A:e,50.9,A
USGS,5427948,2/22/1995,3.6,A,16.1,A
USGS,5427948,2/23/1995,3.4,A,8.41,A
USGS,5427948,2/24/1995,2.7,A,4.93,A
USGS,5427948,2/25/1995,2.4,A,3.36,A
USGS,5427948,2/26/1995,2,A,2.71,A
USGS,5427948,2/27/1995,1.9,A,2.54,A
USGS,5427948,2/28/1995,1.9,A,2.44,A
USGS,5427948,3/1/1995,1.6,A:e,2.03,A
USGS,5427948,3/2/1995,1.6,A:e,2,A
USGS,5427948,3/3/1995,1.6,A,2,A
USGS,5427948,3/4/1995,1.7,A,2.04,A
USGS,5427948,3/5/1995,1.7,A,2.07,A
USGS,5427948,3/6/1995,1.6,A,1.91,A
