agency_cd	site_no	datetime	154934_00060_00003	154934_00060_00003_cd	225226_91050_00003	225226_91050_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	05427910	2012-07-26	24.3	A:e	41.8	A
USGS	05427910	2012-07-27	15.1	A:e	22.2	A
USGS	05427910	2012-07-28	12.5	A:e	15.5	A
USGS	05427910	2012-07-29	12.2	A:e	13.3	A
USGS	05427910	2012-07-30	11.1	A:e	11.7	A
USGS	05427910	2012-07-31	11.4	A:e	11.7	A
USGS	05427910	2012-08-01	11.9	A:e	11.9	A
USGS	05427910	2012-08-02	11.1	A:e	10.9	A
USGS	05427910	2012-08-03	11.5	A:e	11.0	A
USGS	05427910	2012-08-04	11.0	A:e	10.1	A
USGS	05427910	2012-08-05	10.3	A:e	9.31	A
USGS	05427910	2012-08-06	10.0	A:e	8.87	A
USGS	05427910	2012-08-07	10.3	A:e	8.90	A
USGS	05427910	2012-08-08	10.2	A	8.56	A
USGS	05427910	2012-08-09	9.80	A	8.03	A
USGS	05427910	2012-08-10	10.9	A	8.69	A
USGS	05427910	2012-08-11	10.4	A	8.12	A
USGS	05427910	2012-08-12	10.1	A	7.69	A
USGS	05427910	2012-08-13	9.93	A	7.37	A
USGS	05427910	2012-08-14	10.2	A	7.37	A
USGS	05427910	2012-08-15	10.5	A	7.53	A
USGS	05427910	2012-08-16	11.9	A	8.49	A
USGS	05427910	2012-08-17	11.1	A	7.88	A
USGS	05427910	2012-08-18	10.9	A	7.72	A
USGS	05427910	2012-08-19	10.7	A	7.53	A
USGS	05427910	2012-08-20	10.5	A	7.34	A
USGS	05427910	2012-08-21	9.73	A	6.74	A
USGS	05427910	2012-08-22	9.73	A	6.69	A
USGS	05427910	2012-08-23	10.2	A	7.00	A
USGS	05427910	2012-08-24	9.98	A	6.78	A
USGS	05427910	2012-08-25	9.96	A	6.72	A
USGS	05427910	2012-08-26	9.49	A	6.37	A
USGS	05427910	2012-08-27	10.3	A	6.86	A
USGS	05427910	2012-08-28	10.0	A	6.66	A
USGS	05427910	2012-08-29	10.6	A	6.97	A
USGS	05427910	2012-08-30	11.2	A	7.32	A
USGS	05427910	2012-08-31	9.78	A	6.36	A
USGS	05427910	2012-09-01	9.11	A	5.88	A
USGS	05427910	2012-09-02	9.59	A	6.15	A
USGS	05427910	2012-09-03	10.2	A	6.49	A
USGS	05427910	2012-09-04	10.3	A	6.55	A
USGS	05427910	2012-09-05	10.3	A	6.50	A
USGS	05427910	2012-09-06	9.54	A	5.97	A
USGS	05427910	2012-09-07	8.66	A	5.38	A
USGS	05427910	2012-09-08	8.77	A	5.42	A
USGS	05427910	2012-09-09	11.0	A	6.76	A
USGS	05427910	2012-09-10	10.9	A	6.66	A
USGS	05427910	2012-09-11	11.3	A	6.88	A
USGS	05427910	2012-09-12	10.1	A	6.10	A
USGS	05427910	2012-09-13	8.23	A	4.92	A
USGS	05427910	2012-09-14	8.54	A	5.08	A
USGS	05427910	2012-09-15	8.46	A	5.00	A
USGS	05427910	2012-09-16	8.72	A	5.12	A
USGS	05427910	2012-09-17	7.59	A	4.42	A
USGS	05427910	2012-09-18	7.46	A	4.24	A
USGS	05427910	2012-09-19	10.2	A	5.80	A
USGS	05427910	2012-09-20	8.44	A	4.78	A
USGS	05427910	2012-09-21	8.34	A	4.73	A
USGS	05427910	2012-09-22	8.78	A	4.98	A
USGS	05427910	2012-09-23	8.42	A	4.77	A
USGS	05427910	2012-09-24	9.21	A	5.22	A
USGS	05427910	2012-09-25	8.64	A	4.90	A
USGS	05427910	2012-09-26	8.38	A	4.75	A
USGS	05427910	2012-09-27	7.83	A	4.44	A
USGS	05427910	2012-09-28	8.44	A	4.78	A
USGS	05427910	2012-09-29	8.13	A	4.61	A
USGS	05427910	2012-09-30	8.80	A	4.97	A
USGS	05427910	2012-10-01	8.20	A	4.63	A
USGS	05427910	2012-10-02	8.30	A	4.71	A
USGS	05427910	2012-10-03	9.06	A	5.14	A
USGS	05427910	2012-10-04	9.06	A	5.13	A
USGS	05427910	2012-10-05	9.35	A	5.30	A
USGS	05427910	2012-10-06	9.13	A	5.17	A
USGS	05427910	2012-10-07	8.76	A	4.97	A
USGS	05427910	2012-10-08	11.0	A	6.23	A
USGS	05427910	2012-10-09	10.6	A	6.03	A
USGS	05427910	2012-10-10	9.22	A	5.23	A
USGS	05427910	2012-10-11	9.55	A	5.41	A
USGS	05427910	2012-10-12	8.98	A	5.09	A
USGS	05427910	2012-10-13	12.1	A	6.84	A
USGS	05427910	2012-10-14	30.9	A	71.4	A
USGS	05427910	2012-10-15	29.4	A	42.5	A
USGS	05427910	2012-10-16	16.9	A	18.1	A
USGS	05427910	2012-10-17	15.5	A	16.0	A
USGS	05427910	2012-10-18	22.8	A	20.7	A
USGS	05427910	2012-10-19	20.0	A	16.0	A
USGS	05427910	2012-10-20	17.1	A	12.9	A
USGS	05427910	2012-10-21	15.2	A	11.5	A
USGS	05427910	2012-10-22	16.6	A	13.6	A
USGS	05427910	2012-10-23	18.9	A	15.5	A
USGS	05427910	2012-10-24	17.7	A	13.3	A
USGS	05427910	2012-10-25	18.4	A	13.4	A
