agency_cd	site_no	datetime	154921_00060_00003	154921_00060_00003_cd	223624_91050_00003	223624_91050_00003_cd	232446_91060_00003	232446_91060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	05427850	2001-12-27	56.1	A				
USGS	05427850	2001-12-28	55.4	A				
USGS	05427850	2001-12-29	54.3	A				
USGS	05427850	2001-12-30	54.0	A				
USGS	05427850	2001-12-31	53.5	A				
USGS	05427850	2002-01-01	56.0	A:e	12.5	A		
USGS	05427850	2002-01-02	55.0	A:e	12.3	A		
USGS	05427850	2002-01-03	54.0	A:e	12.0	A		
USGS	05427850	2002-01-04	52.6	A	11.8	A		
USGS	05427850	2002-01-05	55.2	A	12.3	A		
USGS	05427850	2002-01-06	53.6	A	12.1	A		
USGS	05427850	2002-01-07	48.5	A	11.0	A		
USGS	05427850	2002-01-08	54.4	A	12.1	A		
USGS	05427850	2002-01-09	61.8	A	13.9	A		
USGS	05427850	2002-01-10	59.6	A	13.5	A		
USGS	05427850	2002-01-11	57.5	A	13.1	A		
USGS	05427850	2002-01-12	55.3	A	12.4	A		
USGS	05427850	2002-01-13	50.4	A	11.4	A		
USGS	05427850	2002-01-14	50.9	A	11.6	A		
USGS	05427850	2002-01-15	47.9	A	11.0	A		
USGS	05427850	2002-01-16	44.4	A	10.1	A		
USGS	05427850	2002-01-17	38.7	A	9.04	A		
USGS	05427850	2002-01-18	38.6	A	9.07	A		
USGS	05427850	2002-01-19	39.7	A	9.33	A		
USGS	05427850	2002-01-20	41.7	A	9.83	A		
USGS	05427850	2002-01-21	46.0	A	10.8	A		
USGS	05427850	2002-01-22	42.4	A	9.92	A		
USGS	05427850	2002-01-23	49.6	A	11.8	A		
USGS	05427850	2002-01-24	47.2	A	11.2	A		
USGS	05427850	2002-01-25	47.2	A	11.2	A		
USGS	05427850	2002-01-26	61.5	A	14.5	A		
USGS	05427850	2002-01-27	54.1	A	13.0	A		
USGS	05427850	2002-01-28	60.9	A	14.7	A		
USGS	05427850	2002-01-29	43.9	A	10.8	A		
USGS	05427850	2002-01-30	42.7	A	10.6	A		
USGS	05427850	2002-01-31	48.3	A	11.9	A		
USGS	05427850	2002-02-01	39.0	A	9.76	A		
USGS	05427850	2002-02-02	37.6	A	9.58	A		
USGS	05427850	2002-02-03	44.5	A	11.4	A		
USGS	05427850	2002-02-04	44.0	A:e	11.2	A		
USGS	05427850	2002-02-05	46.0	A:e	11.8	A		
USGS	05427850	2002-02-06	40.2	A	10.4	A		
USGS	05427850	2002-02-07	44.7	A	11.7	A		
USGS	05427850	2002-02-08	48.2	A	12.6	A		
USGS	05427850	2002-02-09	56.2	A	14.7	A		
USGS	05427850	2002-02-10	71.0	A	18.7	A		
USGS	05427850	2002-02-11	39.5	A	6.31	A		
USGS	05427850	2002-02-12	82.8	A	22.1	A		
USGS	05427850	2002-02-13	36.9	A	10.2	A		
USGS	05427850	2002-02-14	42.1	A	11.6	A		
USGS	05427850	2002-02-15	76.8	A	21.1	A		
USGS	05427850	2002-02-16	66.4	A	18.3	A		
USGS	05427850	2002-02-17	47.7	A	13.6	A		
USGS	05427850	2002-02-18	50.1	A	14.3	A		
USGS	05427850	2002-02-19	116	A	32.6	A		
USGS	05427850	2002-02-20	176	A	49.1	A		
USGS	05427850	2002-02-21	206	A	57.7	A		
USGS	05427850	2002-02-22	116	A	33.5	A		
USGS	05427850	2002-02-23	74.2	A	21.9	A		
USGS	05427850	2002-02-24	96.9	A	28.8	A		
USGS	05427850	2002-02-25	100	A	78.2	A		
USGS	05427850	2002-02-26	68.6	A	21.2	A		
USGS	05427850	2002-02-27	70.2	A	21.7	A		
USGS	05427850	2002-02-28	66.1	A	20.7	A		
USGS	05427850	2002-03-01	60.9	A	19.4	A		
USGS	05427850	2002-03-02	66.6	A	21.5	A		
USGS	05427850	2002-03-03	48.3	A	15.7	A		
USGS	05427850	2002-03-04	54.0	A	17.8	A		
USGS	05427850	2002-03-05	52.6	A	17.7	A		
USGS	05427850	2002-03-06	54.3	A	18.2	A		
USGS	05427850	2002-03-07	55.9	A	19.1	A		
USGS	05427850	2002-03-08	77.3	A	26.3	A		
USGS	05427850	2002-03-09	148	A	50.0	A		
USGS	05427850	2002-03-10	157	A	53.5	A		
USGS	05427850	2002-03-11	96.8	A	45.5	A		
USGS	05427850	2002-03-12	78.0	A	27.9	A		
USGS	05427850	2002-03-13	87.2	A	31.4	A		
USGS	05427850	2002-03-14	101	A	36.7	A		
USGS	05427850	2002-03-15	65.1	A	24.2	A		
USGS	05427850	2002-03-16	72.9	A	27.5	A		
USGS	05427850	2002-03-17	68.8	A	26.3	A		
USGS	05427850	2002-03-18	68.4	A	26.3	A		
USGS	05427850	2002-03-19	70.8	A	27.7	A		
USGS	05427850	2002-03-20	58.5	A	23.1	A		
USGS	05427850	2002-03-21	79.8	A	31.9	A		
USGS	05427850	2002-03-22	63.2	A	25.6	A		
USGS	05427850	2002-03-23	81.7	A	33.5	A		
USGS	05427850	2002-03-24	119	A	48.6	A		
USGS	05427850	2002-03-25	22.9	A	9.96	A		
USGS	05427850	2002-03-26	45.8	A	19.9	A		
USGS	05427850	2002-03-27	38.0	A	16.7	A		
USGS	05427850	2002-03-28	80.0	A	34.8	A		
USGS	05427850	2002-03-29	67.5	A	29.7	A		
USGS	05427850	2002-03-30	55.6	A	25.3	A		
USGS	05427850	2002-03-31	73.6	A	33.5	A		
USGS	05427850	2002-04-01	74.7	A	34.4	A		
USGS	05427850	2002-04-02	62.9	A	29.4	A		
USGS	05427850	2002-04-03	61.4	A	28.9	A		
USGS	05427850	2002-04-04	64.1	A	30.6	A		
USGS	05427850	2002-04-05	65.6	A	32.0	A		
USGS	05427850	2002-04-06	30.7	A	15.5	A		
USGS	05427850	2002-04-07	82.6	A	40.9	A		
USGS	05427850	2002-04-08	170	A	55.0	A		
USGS	05427850	2002-04-09	183	A	51.3	A		
USGS	05427850	2002-04-10	122	A	61.7	A		
USGS	05427850	2002-04-11	97.0	A	50.0	A		
USGS	05427850	2002-04-12	119	A	61.7	A		
USGS	05427850	2002-04-13	85.3	A	45.1	A		
USGS	05427850	2002-04-14	74.8	A	40.5	A		
USGS	05427850	2002-04-15	60.6	A	33.5	A		
USGS	05427850	2002-04-16	59.0	A	32.9	A		
USGS	05427850	2002-04-17	95.6	A	53.3	A		
USGS	05427850	2002-04-18	41.3	A	23.6	A		
USGS	05427850	2002-04-19	107	A	60.7	A		
USGS	05427850	2002-04-20	66.3	A	38.5	A		
USGS	05427850	2002-04-21	64.6	A	38.4	A		
USGS	05427850	2002-04-22	64.6	A	48.4	A		
USGS	05427850	2002-04-23	63.8	A	38.7	A		
USGS	05427850	2002-04-24	64.4	A	39.1	A		
USGS	05427850	2002-04-25	78.7	A	48.5	A		
USGS	05427850	2002-04-26	80.9	A	50.3	A		
USGS	05427850	2002-04-27	83.1	A	52.1	A		
USGS	05427850	2002-04-28	84.8	A	53.9	A		
USGS	05427850	2002-04-29	67.3	A	44.1	A		
USGS	05427850	2002-04-30	85.1	A	55.1	A		
