agency_cd,site_no,datetime,discharge_ft3_s,discharge_flag,p_lbs_d,p_flag
USGS,5427850,1/1/2002,56,A:e,12.5,A
USGS,5427850,1/2/2002,55,A:e,12.3,A
USGS,5427850,1/3/2002,54,A:e,12,A
USGS,5427850,1/4/2002,52.6,A,11.8,A
USGS,5427850,1/5/2002,55.2,A,12.3,A
USGS,5427850,1/6/2002,53.6,A,12.1,A
USGS,5427850,1/7/2002,48.5,A,11,A
USGS,5427850,1/8/2002,54.4,A,12.1,A
USGS,5427850,1/9/2002,61.8,A,13.9,A
USGS,5427850,1/10/2002,59.6,A,13.5,A
USGS,5427850,1/11/2002,57.5,A,13.1,A
USGS,5427850,1/12/2002,55.3,A,12.4,A
USGS,5427850,1/13/2002,50.4,A,11.4,A
USGS,5427850,1/14/2002,50.9,A,11.6,A
USGS,5427850,1/15/2002,47.9,A,11,A
USGS,5427850,1/16/2002,44.4,A,10.1,A
USGS,5427850,1/17/2002,38.7,A,9.04,A
USGS,5427850,1/18/2002,38.6,A,9.07,A
USGS,5427850,1/19/2002,39.7,A,9.33,A
USGS,5427850,1/20/2002,41.7,A,9.83,A
USGS,5427850,1/21/2002,46,A,10.8,A
USGS,5427850,1/22/2002,42.4,A,9.92,A
USGS,5427850,1/23/2002,49.6,A,11.8,A
USGS,5427850,1/24/2002,47.2,A,11.2,A
USGS,5427850,1/25/2002,47.2,A,11.2,A
USGS,5427850,1/26/2002,61.5,A,14.5,A
USGS,5427850,1/27/2002,54.1,A,13,A
USGS,5427850,1/28/2002,60.9,A,14.7,A
USGS,5427850,1/29/2002,43.9,A,10.8,A
USGS,5427850,1/30/2002,42.7,A,10.6,A
USGS,5427850,1/31/2002,48.3,A,11.9,A
USGS,5427850,2/1/2002,39,A,9.76,A
USGS,5427850,2/2/2002,37.6,A,9.58,A
USGS,5427850,2/3/2002,44.5,A,11.4,A
USGS,5427850,2/4/2002,44,A:e,11.2,A
USGS,5427850,2/5/2002,46,A:e,11.8,A
USGS,5427850,2/6/2002,40.2,A,10.4,A
USGS,5427850,2/7/2002,44.7,A,11.7,A
USGS,5427850,2/8/2002,48.2,A,12.6,A
USGS,5427850,2/9/2002,56.2,A,14.7,A
USGS,5427850,2/10/2002,71,A,18.7,A
USGS,5427850,2/11/2002,39.5,A,6.31,A
USGS,5427850,2/12/2002,82.8,A,22.1,A
USGS,5427850,2/13/2002,36.9,A,10.2,A
USGS,5427850,2/14/2002,42.1,A,11.6,A
USGS,5427850,2/15/2002,76.8,A,21.1,A
USGS,5427850,2/16/2002,66.4,A,18.3,A
USGS,5427850,2/17/2002,47.7,A,13.6,A
USGS,5427850,2/18/2002,50.1,A,14.3,A
USGS,5427850,2/19/2002,116,A,32.6,A
USGS,5427850,2/20/2002,176,A,49.1,A
USGS,5427850,2/21/2002,206,A,57.7,A
USGS,5427850,2/22/2002,116,A,33.5,A
USGS,5427850,2/23/2002,74.2,A,21.9,A
USGS,5427850,2/24/2002,96.9,A,28.8,A
USGS,5427850,2/25/2002,100,A,78.2,A
USGS,5427850,2/26/2002,68.6,A,21.2,A
USGS,5427850,2/27/2002,70.2,A,21.7,A
USGS,5427850,2/28/2002,66.1,A,20.7,A
USGS,5427850,3/1/2002,60.9,A,19.4,A
USGS,5427850,3/2/2002,66.6,A,21.5,A
USGS,5427850,3/3/2002,48.3,A,15.7,A
USGS,5427850,3/4/2002,54,A,17.8,A
USGS,5427850,3/5/2002,52.6,A,17.7,A
USGS,5427850,3/6/2002,54.3,A,18.2,A
USGS,5427850,3/7/2002,55.9,A,19.1,A
USGS,5427850,3/8/2002,77.3,A,26.3,A
USGS,5427850,3/9/2002,148,A,50,A
USGS,5427850,3/10/2002,157,A,53.5,A
USGS,5427850,3/11/2002,96.8,A,45.5,A
USGS,5427850,3/12/2002,78,A,27.9,A
USGS,5427850,3/13/2002,87.2,A,31.4,A
USGS,5427850,3/14/2002,101,A,36.7,A
USGS,5427850,3/15/2002,65.1,A,24.2,A
USGS,5427850,3/16/2002,72.9,A,27.5,A
USGS,5427850,3/17/2002,68.8,A,26.3,A
USGS,5427850,3/18/2002,68.4,A,26.3,A
USGS,5427850,3/19/2002,70.8,A,27.7,A
USGS,5427850,3/20/2002,58.5,A,23.1,A
USGS,5427850,3/21/2002,79.8,A,31.9,A
USGS,5427850,3/22/2002,63.2,A,25.6,A
USGS,5427850,3/23/2002,81.7,A,33.5,A
USGS,5427850,3/24/2002,119,A,48.6,A
USGS,5427850,3/25/2002,22.9,A,9.96,A
USGS,5427850,3/26/2002,45.8,A,19.9,A
USGS,5427850,3/27/2002,38,A,16.7,A
USGS,5427850,3/28/2002,80,A,34.8,A
USGS,5427850,3/29/2002,67.5,A,29.7,A
USGS,5427850,3/30/2002,55.6,A,25.3,A
USGS,5427850,3/31/2002,73.6,A,33.5,A
USGS,5427850,4/1/2002,74.7,A,34.4,A
USGS,5427850,4/2/2002,62.9,A,29.4,A
USGS,5427850,4/3/2002,61.4,A,28.9,A
USGS,5427850,4/4/2002,64.1,A,30.6,A
USGS,5427850,4/5/2002,65.6,A,32,A
USGS,5427850,4/6/2002,30.7,A,15.5,A
USGS,5427850,4/7/2002,82.6,A,40.9,A
USGS,5427850,4/8/2002,170,A,55,A
USGS,5427850,4/9/2002,183,A,51.3,A
USGS,5427850,4/10/2002,122,A,61.7,A
USGS,5427850,4/11/2002,97,A,50,A
USGS,5427850,4/12/2002,119,A,61.7,A
USGS,5427850,4/13/2002,85.3,A,45.1,A
USGS,5427850,4/14/2002,74.8,A,40.5,A
USGS,5427850,4/15/2002,60.6,A,33.5,A
USGS,5427850,4/16/2002,59,A,32.9,A
USGS,5427850,4/17/2002,95.6,A,53.3,A
USGS,5427850,4/18/2002,41.3,A,23.6,A
USGS,5427850,4/19/2002,107,A,60.7,A
USGS,5427850,4/20/2002,66.3,A,38.5,A
USGS,5427850,4/21/2002,64.6,A,38.4,A
USGS,5427850,4/22/2002,64.6,A,48.4,A
USGS,5427850,4/23/2002,63.8,A,38.7,A
USGS,5427850,4/24/2002,64.4,A,39.1,A
USGS,5427850,4/25/2002,78.7,A,48.5,A
USGS,5427850,4/26/2002,80.9,A,50.3,A
USGS,5427850,4/27/2002,83.1,A,52.1,A
USGS,5427850,4/28/2002,84.8,A,53.9,A
USGS,5427850,4/29/2002,67.3,A,44.1,A
USGS,5427850,4/30/2002,85.1,A,55.1,A
USGS,5427850,5/1/2002,83.1,A,54.5,A
USGS,5427850,5/2/2002,71.8,A,48,A
USGS,5427850,5/3/2002,84.1,A,56.3,A
USGS,5427850,5/4/2002,62.6,A,43.1,A
USGS,5427850,5/5/2002,61.3,A,42.2,A
USGS,5427850,5/6/2002,68,A,47.4,A
USGS,5427850,5/7/2002,87.5,A,61.4,A
USGS,5427850,5/8/2002,45,A,32.4,A
USGS,5427850,5/9/2002,73,A,78.4,A
USGS,5427850,5/10/2002,145,A,102,A
USGS,5427850,5/11/2002,87.3,A,63.2,A
USGS,5427850,5/12/2002,178,A,127,A
USGS,5427850,5/13/2002,136,A,99.2,A
USGS,5427850,5/14/2002,93.7,A,70.1,A
USGS,5427850,5/15/2002,41.4,A,31.6,A
USGS,5427850,5/16/2002,104,A,78.7,A
USGS,5427850,5/17/2002,68.9,A,59.9,A
USGS,5427850,5/18/2002,66.6,A,52.4,A
USGS,5427850,5/19/2002,69.8,A,55.1,A
USGS,5427850,5/20/2002,51.7,A,41.6,A
USGS,5427850,5/21/2002,58.1,A,46.7,A
USGS,5427850,5/22/2002,37,A,30.4,A
USGS,5427850,5/23/2002,88.1,A,71.1,A
USGS,5427850,5/24/2002,66.6,A,55,A
USGS,5427850,5/25/2002,59.5,A,49.8,A
USGS,5427850,5/26/2002,65,A,54.2,A
USGS,5427850,5/27/2002,75.4,A,62.7,A
USGS,5427850,5/28/2002,49.5,A,42.6,A
