agency_cd	site_no	datetime	154887_00060_00003	154887_00060_00003_cd	325237_91050_00003	325237_91050_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	05427718	1995-01-01	20.0	A	4.31	A
USGS	05427718	1995-01-02	19.0	A:e	4.10	A
USGS	05427718	1995-01-03	17.0	A:e	3.67	A
USGS	05427718	1995-01-04	17.0	A:e	3.67	A
USGS	05427718	1995-01-05	18.0	A:e	3.89	A
USGS	05427718	1995-01-06	19.0	A:e	4.10	A
USGS	05427718	1995-01-07	18.0	A:e	3.89	A
USGS	05427718	1995-01-08	17.0	A:e	3.67	A
USGS	05427718	1995-01-09	16.0	A:e	3.46	A
USGS	05427718	1995-01-10	17.0	A:e	3.67	A
USGS	05427718	1995-01-11	19.0	A:e	4.10	A
USGS	05427718	1995-01-12	20.0	A:e	4.32	A
USGS	05427718	1995-01-13	20.0	A	4.40	A
USGS	05427718	1995-01-14	21.0	A	4.47	A
USGS	05427718	1995-01-15	21.0	A	4.54	A
USGS	05427718	1995-01-16	20.0	A	4.37	A
USGS	05427718	1995-01-17	20.0	A	4.24	A
USGS	05427718	1995-01-18	19.0	A	4.20	A
USGS	05427718	1995-01-19	19.0	A	4.16	A
USGS	05427718	1995-01-20	20.0	A	4.30	A
USGS	05427718	1995-01-21	19.0	A	3.96	A
USGS	05427718	1995-01-22	18.0	A:e	3.61	A
USGS	05427718	1995-01-23	18.0	A:e	3.53	A
USGS	05427718	1995-01-24	17.0	A:e	3.26	A
USGS	05427718	1995-01-25	17.0	A:e	3.18	A
USGS	05427718	1995-01-26	18.0	A:e	3.29	A
USGS	05427718	1995-01-27	18.0	A:e	3.21	A
USGS	05427718	1995-01-28	18.0	A:e	3.14	A
USGS	05427718	1995-01-29	18.0	A:e	3.07	A
USGS	05427718	1995-01-30	19.0	A	3.11	A
USGS	05427718	1995-01-31	19.0	A	3.08	A
USGS	05427718	1995-02-01	19.0	A	3.06	A
USGS	05427718	1995-02-02	19.0	A	3.11	A
USGS	05427718	1995-02-03	19.0	A	3.16	A
USGS	05427718	1995-02-04	17.0	A	2.97	A
USGS	05427718	1995-02-05	17.0	A:e	2.99	A
USGS	05427718	1995-02-06	17.0	A:e	3.04	A
USGS	05427718	1995-02-07	17.0	A:e	3.09	A
USGS	05427718	1995-02-08	18.0	A:e	3.33	A
USGS	05427718	1995-02-09	18.0	A:e	3.39	A
USGS	05427718	1995-02-10	17.0	A:e	3.25	A
USGS	05427718	1995-02-11	16.0	A:e	3.12	A
USGS	05427718	1995-02-12	16.0	A:e	3.17	A
USGS	05427718	1995-02-13	16.0	A:e	3.22	A
USGS	05427718	1995-02-14	17.0	A:e	3.48	A
USGS	05427718	1995-02-15	18.0	A:e	3.75	A
USGS	05427718	1995-02-16	18.0	A:e	3.81	A
USGS	05427718	1995-02-17	18.0	A:e	5.30	A
USGS	05427718	1995-02-18	18.0	A:e	5.92	A
USGS	05427718	1995-02-19	19.0	A:e	6.13	A
USGS	05427718	1995-02-20	27.0	A:e	74.9	A
USGS	05427718	1995-02-21	25.0	A:e	174	A
USGS	05427718	1995-02-22	22.0	A	46.0	A
USGS	05427718	1995-02-23	24.0	A	28.9	A
USGS	05427718	1995-02-24	22.0	A	18.1	A
USGS	05427718	1995-02-25	20.0	A	14.5	A
USGS	05427718	1995-02-26	19.0	A	11.8	A
USGS	05427718	1995-02-27	19.0	A	10.3	A
USGS	05427718	1995-02-28	18.0	A	9.77	A
USGS	05427718	1995-03-01	17.0	A	9.08	A
USGS	05427718	1995-03-02	16.0	A:e	8.17	A
USGS	05427718	1995-03-03	16.0	A:e	8.02	A
USGS	05427718	1995-03-04	17.0	A:e	8.36	A
USGS	05427718	1995-03-05	18.0	A	8.81	A
USGS	05427718	1995-03-06	18.0	A	8.60	A
USGS	05427718	1995-03-07	18.0	A	8.42	A
USGS	05427718	1995-03-08	17.0	A:e	7.76	A
USGS	05427718	1995-03-09	16.0	A:e	7.17	A
USGS	05427718	1995-03-10	17.0	A:e	7.48	A
USGS	05427718	1995-03-11	71.0	A	438	A
USGS	05427718	1995-03-12	72.0	A	396	A
USGS	05427718	1995-03-13	46.0	A	72.3	A
USGS	05427718	1995-03-14	34.0	A	29.3	A
USGS	05427718	1995-03-15	31.0	A	18.5	A
USGS	05427718	1995-03-16	29.0	A	13.1	A
USGS	05427718	1995-03-17	27.0	A	11.4	A
USGS	05427718	1995-03-18	27.0	A	10.7	A
USGS	05427718	1995-03-19	26.0	A	10.2	A
USGS	05427718	1995-03-20	35.0	A	22.5	A
USGS	05427718	1995-03-21	37.0	A	25.7	A
USGS	05427718	1995-03-22	29.0	A	17.1	A
USGS	05427718	1995-03-23	28.0	A	11.4	A
USGS	05427718	1995-03-24	26.0	A	10.2	A
USGS	05427718	1995-03-25	26.0	A	9.28	A
USGS	05427718	1995-03-26	25.0	A	8.50	A
