name,date,mesocosm,time,temp,chl_rfu,pc_rfu
TB,7/14/2023,1,10:00,27,1378.4,1611.5
TB,7/14/2023,2,10:00,27,1326.1,1468.8
TB,7/14/2023,3,10:00,27.1,1426,640.07
TB,7/14/2023,4,10:00,27.1,1010,496.77
TB,7/15/2023,1,11:00,25.5,1312.8,4760.6
TB,7/15/2023,2,11:00,25.5,908.2,4460.2
TB,7/15/2023,3,11:00,25.5,801.53,2277.1
TB,7/15/2023,4,11:00,25.5,1028.1,4934.5
TB,7/16/2023,1,11:35,23.5,793,1265.2
TB,7/16/2023,2,11:35,23.4,605.41,688.32
TB,7/16/2023,3,11:35,23.5,619.73,600.34
TB,7/16/2023,4,11:35,23.5,520.71,1189.2
TB,7/17/2023,1,10:45,23,597.8,1612.9
TB,7/17/2023,2,10:45,23.1,496.95,513.06
TB,7/17/2023,3,10:45,23.1,524.57,971.48
TB,7/17/2023,4,10:45,23,615.88,847.97
TB,7/19/2023,1,4:00,25.2,480.7,319.31
TB,7/19/2023,2,4:00,25.2,437.9,706.8
TB,7/19/2023,3,4:00,25.3,513.09,911.82
TB,7/19/2023,4,4:00,25.3,435.09,369
TB,7/20/2023,1,10:07,25.3,472.16,685.5
TB,7/20/2023,2,10:07,25.3,419.86,354.09
TB,7/20/2023,3,10:07,25.3,441.7,437.87
TB,7/20/2023,4,10:07,25.4,424.53,337.8
TB,7/21/2023,1,1:00,24.8,442.71,270.38
TB,7/21/2023,2,1:00,24.8,403.61,286.67
TB,7/21/2023,3,1:00,25,421.69,354.85
TB,7/21/2023,4,1:00,25,405.54,202.96
TB,7/25/2023,1,11:45,23.6,414.07,124.88
TB,7/25/2023,2,11:45,23.6,381.77,134.85
TB,7/25/2023,3,11:45,23.6,407.47,264.67
TB,7/25/2023,4,11:45,23.6,406.8,201.2
